LossBefore,Iteration,NumTrajs,MeanKL,ExplainedVariance,Entropy,Perplexity,LossAfter,vf_MeanKL,MinReturn,dLoss,AverageDiscountedReturn,vf_LossBefore,AverageReturn,vf_dLoss,vf_LossAfter,MaxReturn,StdReturn,MeanKLBefore,AveragePolicyStd
2.42369279872e-16,11,18243,0.00640225655499,-0.00208522003209,32.5504653196,1.369264888e+14,-0.0201144681934,0.00757227488688,-999.058148173,0.0201144681934,166.745552247,1608.86596287,170.797271197,263.687355347,1345.17860752,509.426993181,73.5388785161,0.0,0.99631545929
-4.17274007533e-17,12,18455,0.00998754013383,-0.000104581338805,32.5273326046,1.337953627e+14,-0.00858205847804,0.00500305372567,-51990.5308741,0.00858205847804,163.104333506,20436.4939411,167.239732627,2756.05048131,17680.4434598,517.276131522,608.971619866,0.0,0.995316913699
-7.32064992705e-17,13,18479,0.0064189385493,-0.00254948820745,32.5265712836,1.33693540249e+14,-0.0198853331306,0.00433663189812,-1045.99949765,0.0198853331306,172.36797524,1182.24190561,177.112432461,148.692130566,1033.54977504,515.172194561,70.18839509,0.0,0.995284676555
3.74041226902e-17,14,18552,0.00984841496367,-0.0007940871501,32.5001480111,1.30207182737e+14,-0.00952847563003,0.00735826843243,-37187.0385577,0.00952847563003,173.514021339,3167.17878464,178.676010139,512.374113562,2654.80467107,545.318414735,282.676797436,0.0,0.994146778472
-1.01231340034e-16,15,18615,0.00641460545551,-0.00334093069882,32.4975717052,1.29872160944e+14,-0.0193301926632,0.0079710822243,-616.055713585,0.0193301926632,178.497282004,829.428295444,184.137522257,139.059814111,690.368481333,573.663870825,64.4132483352,0.0,0.994040099725
1.5471566139e-16,16,18446,0.00995114447793,-9.24904300017e-05,32.4726668268,1.26677655072e+14,-0.0138101413184,0.00933088664108,-50602.7622827,0.0138101413184,176.748345937,14481.2322072,181.585486313,2620.02454923,11861.207658,633.915256463,485.816640511,0.0,0.992971395018
-5.98203680763e-17,17,18406,0.00991621551048,-4.05154098346e-05,32.4694213098,1.26267187047e+14,-0.0160349667037,0.00609129734417,-45819.3403938,0.0160349667037,180.85160804,22785.5881916,184.974306936,3373.68936063,19411.898831,636.061567329,345.284764985,0.0,0.992831676507
-1.04540434873e-16,18,18383,0.00641097000149,-0.00343403691918,32.4696978068,1.26302104372e+14,-0.0191900989042,0.00312402715665,-552.864190133,0.0191900989042,182.454148197,496.467200607,188.48201528,53.1905667865,443.27663382,854.393713463,63.8421819079,0.0,0.992843785781
2.77000877693e-17,19,18181,0.0064041986312,-0.00340655578433,32.4494840726,1.2377469742e+14,-0.0195010105352,0.00934636567606,-1042.33724361,0.0195010105352,185.983680055,455.372284579,192.369660355,82.0176825336,373.354602045,703.478375393,64.3192346813,0.0,0.991976792909
1.50531018633e-16,20,18238,0.00997072812128,-0.000512548715508,32.422231033,1.20447011434e+14,-0.00773840906798,0.00851452792109,-37620.8263636,0.00773840906798,186.896065713,1720.41925028,193.452932228,297.786482696,1422.63276758,1164.54514701,287.259417387,0.0,0.990812204023
-3.42839213893e-16,21,18081,0.00640357962816,-0.00331446183193,32.4037961881,1.18246930842e+14,-0.0189494022274,0.00492700975837,-594.093022543,0.0189494022274,190.512462411,319.277125566,197.377317524,42.3950928994,276.882032667,662.251508222,63.2809240264,0.0,0.990018354376
-7.2707834272e-17,22,17840,0.00642923119355,-0.00334708204305,32.3831130164,1.15826328426e+14,-0.0192164117354,0.00399366131598,-445.983053654,0.0192164117354,193.454960041,284.968850721,200.628634918,34.1876292071,250.781221514,792.572106837,64.6459681154,0.0,0.989134425868
