Entropy,StdReturn,dLoss,MeanKLBefore,AverageDiscountedReturn,ExplainedVariance,LossAfter,AverageReturn,vf_LossBefore,MaxReturn,vf_dLoss,vf_LossAfter,Iteration,LossBefore,Perplexity,MinReturn,MeanKL,AveragePolicyStd,NumTrajs,vf_MeanKL
32.3956137004,58.7439702492,0.0265829618825,0.0,187.678785353,-0.00394303011154,-0.0265829618825,194.319037308,128.57502529,494.690054006,13.6705337488,114.904491541,27,6.25552637977e-18,1.17283324507e+14,-284.211384916,0.00640311032394,0.989693037467,4486,0.0032015708388
32.3765180527,1854.25794507,0.0251655494665,0.0,179.259986345,-1.04988454737e-05,-0.0251655494665,168.316896834,116806.389021,479.079418366,0.0,116806.389021,28,2.03596838852e-16,1.15064971308e+14,-123598.672176,0.00980937711087,0.988880114537,4461,0.0
32.3794625302,59.2000027146,0.0326077478042,0.0,188.202122569,-0.00331898527806,-0.0326077478042,194.847587538,117.270698341,529.257318957,11.9563863089,105.314312032,29,1.33856048134e-16,1.15404276827e+14,-399.663300723,0.00997552581207,0.989007604609,4483,0.00295204396957
32.3681170093,346.465332272,0.0236447535959,0.0,188.700471576,-0.000108601492868,-0.0236447535959,192.577272123,3318.93763409,535.36662737,580.082267093,2738.855367,30,-3.4039420531e-16,1.14102354647e+14,-22246.7581847,0.00993111072309,0.98853052937,4345,0.00868221891128
32.3700568214,60.4193976076,0.0330749695464,0.0,192.819474029,-0.00299533455326,-0.0330749695464,199.967519212,92.8149917706,923.390137284,13.8520388886,78.962952882,31,2.21858623085e-16,1.14323906592e+14,-447.882569568,0.00999337254902,0.988614010826,4370,0.0066891366215
32.3632929836,59.161921299,0.0257510927147,0.0,192.719110891,-0.00240726399294,-0.0257510927147,200.027297268,74.2940379215,542.946362347,8.98240987472,65.3116280468,32,7.65517397431e-17,1.13553247472e+14,-243.495459977,0.00641221735834,0.988330590495,4408,0.00438404239384
32.3490881361,64.2173028507,0.0265364860834,0.0,193.732249528,-0.00136099671483,-0.0265364860834,200.811393558,72.3779509119,716.969404862,8.51449268743,63.8634582245,33,-6.03490403563e-18,1.11951643114e+14,-747.764925369,0.00640555257836,0.987721626158,4294,0.00416421564543
32.3394733219,67.3849044092,0.0330605840716,0.0,195.98508532,-0.000614015254532,-0.0330605840716,203.092780274,71.2871421719,488.068193894,8.24311162797,63.0440305439,34,2.06534820747e-16,1.10880406991e+14,-1205.51048116,0.00998705557385,0.987317064687,4261,0.00403535589337
32.3377858875,65.1051822526,0.0329485110658,0.0,198.429626888,0.000223048068492,-0.0329485110658,206.117462267,58.2069343409,671.99581712,9.99994502797,48.2069893129,35,-9.17000326214e-18,1.10693461345e+14,-630.601379982,0.00994263318522,0.987250385391,4231,0.0095791364005
32.3314792658,61.2632687559,0.0331428684039,0.0,202.143665052,0.00211793865672,-0.0331428684039,210.430283854,45.2405933582,549.904171085,6.04133605009,39.1992573081,36,-1.26002451153e-16,1.09997556275e+14,-80.6431098535,0.00999574603291,0.986977614708,4125,0.00585465492864
32.3086867012,70.6309529351,0.0268516397736,0.0,202.026632892,0.00222764749929,-0.0268516397736,209.898106839,46.9460060522,658.349205526,6.47658854023,40.469417512,37,8.08014714721e-17,1.07518785943e+14,-1467.9382137,0.00641053461106,0.986010866535,4061,0.00627565681334
32.2993586011,68.619475561,0.0271265909211,0.0,202.240253229,0.00330241446878,-0.0271265909211,209.896827079,38.2466756687,736.435958447,4.2409452703,34.0057303984,38,3.38284370716e-16,1.06520503222e+14,-588.01822841,0.00641512286036,0.985614461998,4010,0.00415307145866
32.2815936269,73.4278616664,0.0321292172566,0.0,205.201794827,0.00406256579507,-0.0321292172566,213.457707047,36.6952040093,1185.53388427,3.86450174723,32.8307022621,39,1.15249697803e-16,1.04644878769e+14,-1431.89933353,0.00995565109327,0.984858703066,3961,0.00378326380305
32.2726373746,73.5680921819,0.0340692697299,0.0,206.053210164,0.00495283569159,-0.0340692697299,214.254259511,33.6696371231,1157.6133508,3.19884182223,30.4707953008,40,1.05400359714e-17,1.03711837352e+14,-1252.25328479,0.00999972442823,0.984484288637,3915,0.00313783250516
32.2545293996,77.1955439732,0.0331231195853,0.0,207.766247733,0.00594930773943,-0.0331231195853,215.880046435,31.0883683831,911.833320682,4.86562193523,26.2227464479,41,-2.43017280601e-16,1.01850727314e+14,-1243.52028447,0.0099916827185,0.983717732584,3810,0.00926607070023
32.2463053999,66.5791899133,0.0331903565431,0.0,209.504155892,0.0105145319121,-0.0331903565431,218.108472181,23.3107672524,897.738936685,2.59483080738,20.715936445,42,1.18341699834e-16,1.01016541834e+14,-459.498801009,0.00996554958592,0.983367981655,3871,0.00503988851865
32.2327920611,70.8067673614,0.0331166852185,0.0,212.571234291,0.0103897892789,-0.0331166852185,221.318520772,23.024867845,867.312930379,2.50304119595,20.521826649,43,1.10989071538e-16,9.96606530081e+13,-606.021401714,0.00998118385016,0.982804643687,3744,0.0048795791311
32.2163703053,72.8079173797,0.0323850045953,0.0,212.816002381,0.0130606982878,-0.0323850045953,221.478443584,20.6867412879,687.781508606,1.93599789759,18.7507433904,44,1.2949501391e-16,9.80374147895e+13,-1056.02500049,0.00997741829715,0.982108519224,3741,0.00379655331673
32.2044598013,77.4395916078,0.0338226256961,0.0,213.860133123,0.0143586997212,-0.0338226256961,222.56367152,19.7066765396,1111.41235002,1.70850815942,17.9981683801,45,-1.38167634187e-16,9.68766660426e+13,-789.79822821,0.00998577738784,0.98160362653,3680,0.00336078667687
32.1885257075,69.6817196522,0.0336170252001,0.0,215.067378681,0.0205860431003,-0.0336170252001,224.010289314,16.1318915884,519.412769286,1.87786554155,14.2540260469,46,2.05700276097e-16,9.53452573683e+13,-457.561576696,0.00998329025822,0.980931871924,3636,0.00720125618882
32.1761922289,77.8388579697,0.0275031298291,0.0,218.298979288,0.0215151001208,-0.0275031298291,227.79672155,16.0163149189,1557.18199432,1.80446993484,14.2118449841,47,2.50991744097e-17,9.41765406605e+13,-581.961244538,0.00640853616458,0.980416488766,3573,0.00690749032411
32.1590990387,81.6237452631,0.0349392482644,0.0,219.808838216,0.0246839815705,-0.0349392482644,230.102922952,14.6305140349,1668.46548491,1.41927535106,13.2112386839,48,1.89551081361e-16,9.25804431953e+13,-915.234864155,0.00999459049186,0.979691127559,3584,0.00554033183448
32.1485412641,80.1183162697,0.0344137076371,0.0,220.038114587,0.0319170482485,-0.0344137076371,229.80032616,12.6561927714,1797.54298416,0.929061132978,11.7271316385,49,-8.75425455273e-17,9.16081414507e+13,-491.768171601,0.00995201260895,0.97924792283,3532,0.0036637553233
32.1317331134,76.2655512202,0.0278587257396,0.0,221.173946456,0.0379750918464,-0.0278587257396,231.099751688,11.5225885829,983.260630578,1.2373425468,10.2852460361,50,9.90367641668e-17,9.00812460946e+13,-626.095110371,0.00640291385163,0.978540552704,3460,0.00947186154808
32.1157850935,271.280858509,0.0244047880471,0.0,220.026316992,0.0035742752591,-0.0244047880471,228.476764155,67.6423464746,1198.7804444,7.10004791658,60.542298558,51,-3.05986340289e-16,8.86560235377e+13,-15128.6941129,0.0098979931798,0.977867145292,3499,0.0034848078864
32.1152592753,70.7480275684,0.0327699462492,0.0,223.417632415,0.0578304500878,-0.0327699462492,233.591682673,9.31291488015,661.06956024,0.567743729403,8.74517115075,52,-5.86439795935e-17,8.86094188348e+13,-393.662437123,0.00997702198904,0.977847206333,3514,0.00436791677732
32.0984947987,79.372909266,0.0274580534562,0.0,226.722568472,0.0569087252047,-0.0274580534562,237.813527744,9.30237551453,1418.46873585,0.543234419872,8.75914109466,53,-1.08379968123e-16,8.7136310753e+13,-309.751096711,0.00640610178008,0.977147481058,3394,0.00418756442783
32.087295334,76.2757381971,0.0338899839665,0.0,226.561111288,0.0716704647124,-0.0338899839665,236.982494742,8.57674300568,989.454149406,0.379538134996,8.19720487068,54,2.40706978001e-17,8.61658750357e+13,-616.472130784,0.00999793830883,0.976677262433,3364,0.00296046075869
32.0768596716,151.284744607,0.0265609402408,0.0,227.294702934,0.017294761891,-0.0265609402408,236.38654901,17.9512477475,831.638794249,2.16624003602,15.7850077114,55,3.11558602994e-16,8.52713526415e+13,-7092.49400197,0.00986431261544,0.976239767962,3318,0.00823514700428
32.0728342567,89.6571923146,0.0363933986257,0.0,229.621211616,0.0661407481878,-0.0363933986257,241.378524456,8.37205798474,2297.73382813,0.553664672793,7.81839331194,56,1.37762450391e-16,8.4928790011e+13,-588.23486201,0.00999654268611,0.976063324119,3341,0.00842664165997
32.0643215888,370.58619475,0.0234019001488,0.0,228.34970768,0.00375137033245,-0.0234019001488,236.766320392,59.9783721681,2783.17909586,9.93243258358,50.0459395846,57,2.82830033864e-16,8.4208887914e+13,-20465.4182511,0.00990614004105,0.975709438429,3320,0.00948486414673
32.0664689919,89.5801430033,0.0344793112129,0.0,232.049320976,0.0832879381056,-0.0344793112129,243.69446685,7.39795572565,1800.09005222,0.243066481574,7.15488924407,58,-8.07290078302e-17,8.43899126372e+13,-467.569513651,0.00996053426546,0.975802651528,3252,0.00374330231221
32.0522482913,93.5873577083,0.0391094554992,0.0,232.733732115,0.0881059619572,-0.0391094554992,244.621330148,7.3422340972,2765.26571986,0.215504294429,7.12672980277,59,1.36901091934e-16,8.31983216696e+13,-857.689337068,0.00997081603145,0.975207847016,3249,0.00332895295248
